#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
13001  11.47   -22.99  2014 08 23 03 00 180   4.6    MM   MM  MM   MM  MM 1012.5    MM  25.2    MM    MM   MM     MM
13002  20.44   -23.14  2014 08 23 03 00  20   8.2    MM   MM  MM   MM  MM     MM    MM  24.9  24.8    MM   MM     MM
13009   7.93   -38.09  2014 08 23 03 00 180   6.2    MM   MM  MM   MM  MM     MM    MM  26.2  27.6    MM   MM     MM
13010   0.00     0.00  2014 08 23 03 00 180   5.1    MM   MM  MM   MM  MM     MM    MM  22.9    MM    MM   MM     MM
15001  -9.91    -9.98  2014 08 23 03 00 140   7.2    MM   MM  MM   MM  MM 1015.7    MM  22.4  23.9    MM   MM     MM
15006  -6.04   -10.00  2014 08 23 03 00 100   7.2    MM   MM  MM   MM  MM     MM    MM  23.7  24.0    MM   MM     MM
21600  41.31   154.04  2014 08 23 03 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  23.7    MM   MM     MM
21637  34.21   155.61  2014 08 23 03 00  MM    MM    MM   MM  MM   MM  MM 1016.4    MM    MM  28.2    MM   MM     MM
22101  37.24   126.02  2014 08 23 04 00 200   3.0    MM   MM  MM   MM  MM 1010.8    MM  22.9  22.8    MM   MM     MM
22102  34.79   125.78  2014 08 23 04 00 270   0.0    MM   MM  MM   MM  MM 1011.0    MM  24.2  23.1    MM   MM     MM
22103  34.00   127.50  2014 08 23 04 00 190   0.0    MM   MM  MM   MM  MM 1011.5    MM  24.8  24.4    MM   MM     MM
22104  34.77   128.90  2014 08 23 03 00 220   4.0    MM   MM  MM   MM  MM 1011.3    MM  23.9  24.0    MM   MM     MM
22105  37.54   130.00  2014 08 23 04 00 200   4.0    MM   MM  MM   MM  MM 1009.3    MM  25.2  24.3    MM   MM     MM
22108  36.25   125.75  2014 08 23 04 00 200   3.0    MM   MM  MM   MM  MM 1011.3    MM  23.9  25.2    MM   MM     MM
31001   0.01   -35.00  2014 08 23 03 00 150   9.3    MM   MM  MM   MM  MM     MM    MM  25.5  26.9    MM   MM     MM
31002   4.00   -37.94  2014 08 23 04 00  MM    MM    MM   MM  MM   MM  MM     MM    MM  26.4  27.5    MM   MM     MM
31003  -7.90   -30.49  2014 08 23 04 00 140   8.8    MM   MM  MM   MM  MM     MM    MM  24.5  26.5    MM   MM     MM
31005 -18.87   -34.68  2014 08 23 03 00  MM    MM    MM   MM  MM   MM  MM 1019.4    MM  23.2  24.9    MM   MM     MM
31006   4.04   -22.97  2014 08 23 03 00 180   7.2    MM   MM  MM   MM  MM     MM    MM  25.8    MM    MM   MM     MM
31007  -0.05   -23.01  2014 08 23 03 00  MM    MM    MM   MM  MM   MM  MM 1014.4    MM  24.0  24.0    MM   MM     MM
32012 -19.376  -84.370 2014 08 23 04 50  MM    MM    MM  1.7  11  6.8 197     MM    MM    MM    MM    MM   MM     MM
41002  31.862  -74.835 2014 08 23 04 50 240   7.0   9.0  0.7   5  3.9 242 1015.1  -1.0  27.6  27.8  26.0   MM     MM
41004  32.501  -79.099 2014 08 23 04 50 210   5.0   6.0   MM  MM   MM  MM 1013.8  -0.3  29.4  29.3  26.8   MM     MM
41008  31.400  -80.868 2014 08 23 04 50 210   6.0   7.0  0.4   3  3.3 195 1015.1  +0.3  29.9  29.8  27.6   MM     MM
41009  28.522  -80.188 2014 08 23 04 20 210   5.0   5.0   MM  MM   MM  MM 1016.5    MM  28.9  29.4  23.6   MM     MM
41010  28.903  -78.464 2014 08 23 04 50 180   3.0   4.0  0.5   9  5.2  91 1016.4  -0.3  29.1  30.1  24.1   MM     MM
41024  33.848  -78.482 2014 08 23 04 00 130   4.0   5.0   MM  MM   MM  MM 1014.2  +0.3  28.1    MM    MM   MM     MM
41025  35.006  -75.402 2014 08 23 04 50 330   3.0   4.0  0.6   8  4.7  36 1013.7  +0.3  25.8    MM    MM   MM     MM
41026  11.48   -37.97  2014 08 23 03 00 110   3.1    MM   MM  MM   MM  MM     MM    MM  26.2  27.6    MM   MM     MM
41029  32.800  -79.620 2014 08 23 04 00 230   5.0   6.0   MM  MM   MM  MM     MM    MM  30.0    MM    MM   MM     MM
41036  34.207  -76.949 2014 08 23 04 20 290   6.0   7.0   MM  MM   MM  MM 1013.1    MM  27.9  28.3  23.1   MM     MM
41037  33.988  -77.363 2014 08 23 04 00 260   7.0   8.0   MM  MM   MM  MM 1013.7  +0.0  25.8  28.6    MM   MM     MM
41038  34.142  -77.721 2014 08 23 05 00 330   8.0   9.0   MM  MM   MM  MM     MM    MM  25.0  28.3    MM   MM     MM
41040  14.516  -53.024 2014 08 23 04 50  80   6.0   7.0  1.3   8  5.4 123 1013.2  -1.4  26.9  27.8  21.7   MM     MM
41041  14.329  -46.082 2014 08 23 04 50  70   5.0   5.0  1.1   9  5.5 136 1012.7  -1.6  26.5  27.2    MM   MM     MM
41043  21.061  -64.966 2014 08 23 04 50 120  10.0  11.0  2.7   9  6.4 105 1013.6  -0.5  28.6  28.7  25.1   MM     MM
41044  21.575  -58.625 2014 08 23 04 50  90   6.0   7.0  1.4   8  5.7 118 1015.9  -1.8  27.9  28.5  23.9   MM     MM
41046  23.888  -68.365 2014 08 23 04 50  90   8.0  11.0  2.3  10  6.5 130 1013.5  -1.1  27.2  29.2  24.1   MM     MM
41047  27.517  -71.483 2014 08 23 04 50  90   4.0   5.0  0.9   7  5.6 131 1016.4  -1.0  28.4  29.0  24.6   MM     MM
41048  31.950  -69.497 2014 08 23 04 50 240   8.0  10.0  1.1   5  4.2 256 1013.0  -1.6  27.5  27.5  25.5   MM     MM
41049  27.537  -62.945 2014 08 23 04 50 140   4.0   5.0  1.5   9  6.9 137 1016.7  -1.4  28.9  29.8  25.2   MM     MM
41051  18.257  -65.004 2014 08 23 04 30 140   7.0  10.0   MM  MM   MM  MM 1012.4    MM  27.8    MM    MM   MM     MM
41052  18.249  -64.763 2014 08 23 04 00 120   6.0   8.0  1.6   7   MM  MM 1012.0    MM  27.6  28.5    MM   MM     MM
41053  18.474  -66.099 2014 08 23 04 00 140   3.0   4.0  1.1   8   MM  MM 1011.7  +0.8  27.2  28.6    MM   MM     MM
41056  18.259  -65.457 2014 08 23 04 00 140   6.0   7.0   MM  MM   MM  MM 1012.0  +0.6  27.0  28.5    MM   MM     MM
41060  14.825  -50.017 2014 08 23 04 50  MM    MM    MM  1.3   9  5.4 133     MM    MM    MM    MM    MM   MM     MM
41063  34.798  -75.945 2014 08 23 04 00  MM   4.0   5.0   MM  MM   MM  MM 1013.9  +0.0    MM    MM    MM   MM     MM
